日期,睡眠分数,总时长(小时),睡眠效率,深睡时长(小时),REM时长(小时),入睡延迟(分钟)
2026-01-01,68,0.0,0,0.0,0.0,0.0
2026-01-02,74,0.0,0,0.0,0.0,0.0
2026-01-03,83,0.0,0,0.0,0.0,0.0
2026-01-04,74,0.0,0,0.0,0.0,0.0
2026-01-05,85,0.0,0,0.0,0.0,0.0
2026-01-06,67,0.0,0,0.0,0.0,0.0
2026-01-07,78,0.0,0,0.0,0.0,0.0
2026-01-08,76,0.0,0,0.0,0.0,0.0
2026-01-09,74,0.0,0,0.0,0.0,0.0
2026-01-10,79,0.0,0,0.0,0.0,0.0
2026-01-11,80,0.0,0,0.0,0.0,0.0
2026-01-12,81,0.0,0,0.0,0.0,0.0
2026-01-13,64,0.0,0,0.0,0.0,0.0
2026-01-14,79,0.0,0,0.0,0.0,0.0
2026-01-15,76,0.0,0,0.0,0.0,0.0
2026-01-16,68,0.0,0,0.0,0.0,0.0
2026-01-17,75,0.0,0,0.0,0.0,0.0
2026-01-18,80,0.0,0,0.0,0.0,0.0
2026-01-19,77,0.0,0,0.0,0.0,0.0
2026-01-20,75,0.0,0,0.0,0.0,0.0
2026-01-21,84,0.0,0,0.0,0.0,0.0
2026-01-22,76,0.0,0,0.0,0.0,0.0
2026-01-23,77,0.0,0,0.0,0.0,0.0
2026-01-24,71,0.0,0,0.0,0.0,0.0
2026-01-25,80,0.0,0,0.0,0.0,0.0
2026-01-26,83,0.0,0,0.0,0.0,0.0
2026-01-27,80,0.0,0,0.0,0.0,0.0
2026-01-28,72,0.0,0,0.0,0.0,0.0
2026-01-29,80,0.0,0,0.0,0.0,0.0
2026-01-30,81,0.0,0,0.0,0.0,0.0
2026-01-31,85,0.0,0,0.0,0.0,0.0
